"time","x1","x2","v1","v2","a1","a2","F"
0,0,0.5,0,0,5,-15,5
0.002,9.980916310048382e-6,0.4999700254018655,0.009977600450811565,-0.02997017837990304,4.977531226186935,-14.97003600996354,4.9796265554401975
0.004,3.986473463635232e-5,0.49988018096681497,0.019909198634886854,-0.05987823645050511,4.954128957705749,-14.938149593180238,4.95850944477909
0.006,8.95602021948605e-5,0.4997305914563076,0.029792994035009734,-0.08972046119353591,4.929799384097904,-14.904349275694944,4.936653584926854
0.008,1.5897899241307245e-4,0.4995213798640237,0.039627318175984416,-0.11949340429283054,4.90454839392237,-14.868643223474322,4.914063647481698
0.01,2.480220448804471e-4,0.499252686063647,0.04941036402194263,-0.14919332416232692,4.878382502842338,-14.831040520119771,4.890744796095531
0.012,3.565849011694655e-4,0.4989246589918615,0.05914027379684214,-0.17881636880151044,4.851308515836681,-14.79155068880452,4.866702419607744
0.014,4.845549133636329e-4,0.4985374625196102,0.06881515187517548,-0.20835859529447573,4.823333622968968,-14.750183874281499,4.8419422024776395
0.016,6.31818250525551e-4,0.49809126435796647,0.0784331525223266,-0.23781615588072988,4.79446499386316,-14.70695024726799,4.81646980687288
0.018,7.982564311052043e-4,0.4975862431120472,0.08799248718664376,-0.26718530484811487,4.76470990904366,-14.661860241578548,4.79029097079204
0.02,9.837471481213833e-4,0.4970225882311162,0.09749147522059509,-0.2964624991485301,4.734075657120053,-14.61492443852315,4.763411423645385
0.022,0.0011881709710228061,0.4964004813630732,0.1069283661971338,-0.32564406548300096,4.702569505130781,-14.566153295697,4.735836888080436
0.024,0.0014114007125288208,0.49572011843882,0.11630137517299455,-0.3547262460519242,4.670199084490566,-14.515557861611278,4.707573366650453
0.026,0.0016533136127832027,0.4949816876194436,0.12560874954871237,-0.38370535603330924,4.636971801238019,-14.463148832854472,4.678626687275594
0.028,0.0019137717941211108,0.4941854095326562,0.13484882110975105,-0.4125778424144648,4.602895563460081,-14.408937883552026,4.6490030456232425
0.03,0.0021926385797963466,0.4933315019860688,0.144019907027098,-0.4413401262411889,4.567978250225198,-14.3529366192776,4.618708617428581
0.032,0.00248977763364866,0.4924201819319138,0.15312031727060926,-0.4699886148799326,4.532227737116772,-14.295156631081678,4.58774957690738
0.034,0.0028050431131695364,0.4914516865768261,0.16214840869562913,-0.4985197862525876,4.495652224291636,-14.2356101328232,4.556132337162457
0.036,0.003138294254964036,0.49042624238818416,0.17110251496965634,-0.5269300839929795,4.458259736307312,-14.174309004416672,4.523863181850883
0.038,0.003489374456563943,0.4893441096064646,0.17998104544588844,-0.5552160636176044,4.420058843312442,-14.11126617001127,4.490948796967259
0.04,0.003858139189163612,0.48820552273744217,0.18878235202803784,-0.5833741958224145,4.381057699260316,-14.046493757559679,4.45739556155756
0.042,0.004244423585080259,0.48701075989599574,0.19750488741811723,-0.6114011008777656,4.341265155626787,-13.980005236617798,4.423210368961213
0.044,0.004648078402490097,0.48576006566184043,0.20614702642662497,-0.639293283413812,4.300689528363058,-13.91181304588595,4.388399717673285
0.046,0.005068934810466219,0.4844537270495072,0.21470724902257654,-0.667047406342993,4.259339796798448,-13.841930913794872,4.3529705947076245
0.048,0.005506830977864585,0.4830920158694824,0.22318399682098022,-0.6946600746404149,4.217224704042639,-13.770372108183004,4.316929813185481
0.05,0.005961599518397032,0.48167521599843616,0.23157574187522445,-0.7221279392612187,4.174353180673155,-13.697150262422529,4.28028432423217
0.052,0.006433070113618933,0.48020361768189757,0.23988097230490146,-0.7494476754300555,4.130734256218138,-13.622279202824242,4.243041151815308
0.054,0.00692106598343345,0.4786775255352021,0.24809821742884275,-0.7766160219742296,4.0863771724960465,-13.545773179927924,4.20520747581615
0.056,0.007425408996052152,0.47709724695982025,0.25622601137782386,-0.8036297243776658,4.04129121952385,-13.467646533643041,4.166790511759936
0.058,0.007945918765694449,0.47546309418876576,0.26426289951971826,-0.8304855448362591,3.9954857644918365,-13.387913752377163,4.127797532052725
0.06,0.00848241086793966,0.47377538833217964,0.27220745116771794,-0.8571802821462138,3.9489703090724935,-13.306589589985164,4.0882359079854345
0.062,0.009034699041322536,0.472034455360656,0.2800582611716099,-0.8837107774676415,3.9017544012261616,-13.223688917846538,4.048113043873709
0.064,0.009602595137011338,0.47024062618503837,0.2878139496684349,-0.9100739138191603,3.8538476374326724,-13.139226728291494,4.007436378736473
0.066,0.010185904826937597,0.46839424346208786,0.295473140816616,-0.9362665729728898,3.8052598530240505,-13.053218426806641,3.9662135294567493
0.068,0.010784431956971818,0.46649565469160287,0.30303448436559033,-0.9622856791751677,3.7560009291330956,-12.96567953565544,3.9244521455759314
0.07,0.011397978011817522,0.4645452128782001,0.3104966495449567,-0.9881281876874045,3.7060808200204787,-12.876625731305426,3.882159930047645
0.072,0.01202635052656359,0.462543261057549,0.3178583271824784,-1.013791099683288,3.655509221174839,-12.786072283122964,3.8393443918769705
0.074,0.012669342309806597,0.4604901705172097,0.3251182244725255,-1.0392714254520823,3.604296389119156,-12.694035439820297,3.796013457111727
0.076,0.013326747697258945,0.45838631089673326,0.33227506906868576,-1.064566213184433,3.5524525000818574,-12.60053134484752,3.752174990868184
0.078,0.013998358284004808,0.45623205803854366,0.33932760800916006,-1.0896725414140174,3.4999878183919195,-12.505576321180467,3.7078369228337995
0.08,0.01468396896180929,0.4540277831680972,0.3462746119474298,-1.1145875343372138,3.4469124569129788,-12.40918647198134,3.663007068920558
0.082,0.015383367314165564,0.4517738718996803,0.35311486772079514,-1.1393083349030406,3.3932367978574156,-12.311378382065923,3.61769344454323
