time,x1,v1
0,0,0
0.02,9.837471481213833e-4,0.09749147522059509
0.04,0.003858139189163612,0.18878235202803784
0.06,0.00848241086793966,0.27220745116771794
0.08,0.01468396896180929,0.3462746119474298
0.1,0.022262230348105927,0.4096838118453383
0.12,0.030992862465986204,0.4613418336704769
0.14,0.04063165602542851,0.500376158456165
0.16,0.05091925797546448,0.5261443032325113
0.18,0.06158611909710435,0.5382385855750407
0.2,0.07235654031442607,0.5364895036615982
0.22,0.08295385802027903,0.5209632350678204
0.24,0.09310513447714182,0.49195637286826877
0.26,0.10254561675959015,0.4499874239049464
0.28,0.11102300730920944,0.3957851196208413
0.3,0.11830156156597513,0.3302738228043838
0.32,0.12416584308244101,0.2545561229977875
0.34,0.1284240940791429,0.16989321942902258
0.36,0.13091118054639822,0.07768318139073305
0.38,0.13149111149751594,-0.02056231133019737
0.4,0.13005905321714264,-0.12324258259525589
0.42,0.1265428705413032,-0.22869342946014992
0.44,0.12090412588926502,-0.3352131656371091
0.46,0.11313858070258398,-0.441088703067708
0.48,0.10327614662308815,-0.5446213643094124
0.5,0.09138036135807087,-0.6441521114045589
0.52,0.07754733835519745,-0.7380857636675352
0.54,0.061904265834708705,-0.8249138965280698
0.56,0.04460744576919945,-0.9032360282058962
0.58,0.025839974461011717,-0.9717792291023892
0.6,0.005808969217691307,-1.0294150942891647
0.62,-0.015257460789458499,-1.0751747172450137
0.64,-0.03711352824669362,-1.1082610559178925
0.66,-0.059499302143990795,-1.128058661831595
0.68,-0.08214441835535224,-1.134140651073961
0.7,-0.10477190061102531,-1.1262728881092192
0.72,-0.12710203194398476,-1.1044153939671015
0.74,-0.14885622722486647,-1.068720994539797
0.76,-0.1697608541826265,-1.0195312699917898
0.78,-0.1895509450419405,-0.9573698912528419
0.8,-0.20797375627197753,-0.8829336399922534
0.82,-0.22479211652846626,-0.7970809895944064
0.84,-0.23978753089282603,-0.7008187225510143
0.86,-0.2527629977611331,-0.5952866818099198
0.88,-0.26354550405373395,-0.4817409287950094
0.9,-0.27198816970509226,-0.36153557247562507
0.92,-0.2779720179008471,-0.23610354635634456
0.94,-0.2814073509234955,-0.10693661788672837
0.96,-0.2822347230193279,0.02443506822730257
0.98,-0.28042550865081983,0.15646363237404326
1,-0.2759820430619176,0.28760401054766555
1.02,-0.26893736627695886,0.4163341043324271
1.04,-0.2593545674784713,0.5411742809107964
1.06,-0.2473257480393944,0.6607059644400927
1.08,-0.23297062379566866,0.7735890828596899
1.1,-0.21643479164200968,0.878578155200987
1.12,-0.1978876871315887,0.9745368121233209
1.14,-0.1775202761705912,1.060450641429679
1.16,-0.15554250120767504,1.1354381505847868
1.18,-0.13218052767463845,1.1987597530643703
1.2,-0.10767383385314554,1.2498247301278966
1.22,-0.08227218137340543,1.2881960918108455
1.24,-0.056232509629848604,1.3135933231411296
1.26,-0.02981579636465463,1.3258930250883059
1.28,-0.003283926189580788,1.3251274884985575
1.3,0.023103390913543458,1.311481239705905
1.32,0.049091616618677704,1.2852857742413768
1.34,0.07443425343257992,1.2470123683283636
1.36,0.09889555545285189,1.1972633071775327
1.38,0.12225304811304374,1.1367616008600903
1.4,0.14429982863994237,1.066339374064546
1.42,0.16484662260757016,0.986925118566566
1.44,0.18372357581309998,0.8995300071817924
1.46,0.2007817637902894,0.8052334743355846
1.48,0.21589440714522773,0.705168280059539
1.5,0.22895779298332397,0.6005052739718798
1.52,0.23989187617114816,0.49243804229195265
1.54,0.24864058365560676,0.3821676865800751
1.56,0.2551718149589832,0.2708879119065401
1.58,0.2594771491833874,0.15977062096093403
1.6,0.26157127046050843,0.049952193656502525
1.62,0.2614911272355198,-0.05747938239247771
